county,ward,office,district,total.votes,party,candidate,votes
Ozaukee,"Town Of Cedarburg Wards 1, 2 & 10",State Assembly,60,70,DEM,Rick Aaron,43
Ozaukee,Town Of Cedarburg Wards 3 & 4,State Assembly,60,87,DEM,Rick Aaron,64
Ozaukee,Town Of Cedarburg Wards 5 & 6,State Assembly,60,88,DEM,Rick Aaron,65
Ozaukee,Town Of Cedarburg Wards 7 - 9,State Assembly,60,84,DEM,Rick Aaron,50
Ozaukee,"Town Of Grafton Wards 1, 2 & 6",State Assembly,60,115,DEM,Rick Aaron,74
Ozaukee,Town Of Grafton Wards 3 - 5 & 7,State Assembly,60,141,DEM,Rick Aaron,78
Ozaukee,Town Of Port Washington Wards 1 & 2,State Assembly,60,99,DEM,Rick Aaron,58
Ozaukee,Town Of Saukville Wards 2 - 5,State Assembly,60,65,DEM,Rick Aaron,36
Ozaukee,Village Of Grafton Wards 1 & 2 & 16,State Assembly,60,71,DEM,Rick Aaron,42
Ozaukee,Village Of Grafton Wards 3 & 4,State Assembly,60,106,DEM,Rick Aaron,76
Ozaukee,Village Of Grafton Wards 5 & 6,State Assembly,60,153,DEM,Rick Aaron,100
Ozaukee,Village Of Grafton Wards 7 & 8,State Assembly,60,102,DEM,Rick Aaron,65
Ozaukee,Village Of Grafton Wards 9 - 11 & 14 - 15,State Assembly,60,127,DEM,Rick Aaron,78
Ozaukee,Village Of Grafton Wards 12 & 13,State Assembly,60,130,DEM,Rick Aaron,92
Ozaukee,Village Of Newburg Ward 3,State Assembly,60,1,DEM,Rick Aaron,1
Ozaukee,"Village Of Saukville Wards 1, 6 & 7",State Assembly,60,93,DEM,Rick Aaron,63
Ozaukee,Village Of Saukville Wards 2 - 5 & 8,State Assembly,60,103,DEM,Rick Aaron,64
Ozaukee,City Of Cedarburg Wards 1 & 2 & 15,State Assembly,60,97,DEM,Rick Aaron,67
Ozaukee,City Of Cedarburg Wards 3 & 4 & 16,State Assembly,60,104,DEM,Rick Aaron,55
Ozaukee,City Of Cedarburg Wards 5 & 6,State Assembly,60,148,DEM,Rick Aaron,115
Ozaukee,City Of Cedarburg Wards 7 & 8 & 17 & 22,State Assembly,60,62,DEM,Rick Aaron,40
Ozaukee,City Of Cedarburg Wards 9 & 10,State Assembly,60,131,DEM,Rick Aaron,89
Ozaukee,City Of Cedarburg Wards 11 & 12 & 18,State Assembly,60,113,DEM,Rick Aaron,83
Ozaukee,City Of Cedarburg Wards 13 & 14 & 19 & 20 & 21,State Assembly,60,151,DEM,Rick Aaron,87
Ozaukee,City Of Mequon Ward 2,State Assembly,60,35,DEM,Rick Aaron,19
